file,num_frames,accuracy,edit,avg_f1,f1@10,f1@25,f1@50
S1_Cheese_C1.txt,943,0.9406,94.12,96.97,96.97,96.97,96.97
S1_CofHoney_C1.txt,1235,0.9385,91.30,95.45,95.45,95.45,95.45
S1_Coffee_C1.txt,1178,0.9185,92.31,96.00,96.00,96.00,96.00
S1_Hotdog_C1.txt,718,0.9220,93.33,96.55,96.55,96.55,96.55
S1_Pealate_C1.txt,1384,0.9444,91.30,95.45,95.45,95.45,95.45
S1_Peanut_C1.txt,1643,0.9537,94.12,96.97,96.97,96.97,96.97
S1_Tea_C1.txt,2009,0.9642,90.91,95.24,95.24,95.24,95.24
S2_Cheese_C1.txt,634,0.9196,94.12,96.97,96.97,96.97,96.97
S2_CofHoney_C1.txt,823,0.9016,91.30,93.94,95.45,95.45,90.91
S2_Coffee_C1.txt,1814,0.9471,92.59,96.15,96.15,96.15,96.15
S2_Hotdog_C1.txt,811,0.9334,93.33,96.55,96.55,96.55,96.55
S2_Pealate_C1.txt,1181,0.9229,91.30,95.45,95.45,95.45,95.45
S2_Peanut_C1.txt,1465,0.9543,94.44,91.43,91.43,91.43,91.43
S2_Tea_C1.txt,1412,0.9490,90.91,95.24,95.24,95.24,95.24
S3_Cheese_C1.txt,913,0.9354,94.12,96.97,96.97,96.97,96.97
S3_CofHoney_C1.txt,892,0.8969,90.91,95.24,95.24,95.24,95.24
S3_Coffee_C1.txt,1190,0.9151,92.31,96.00,96.00,96.00,96.00
S3_Hotdog_C1.txt,862,0.9455,93.33,96.55,96.55,96.55,96.55
S3_Pealate_C1.txt,1169,0.9367,91.30,95.45,95.45,95.45,95.45
S3_Peanut_C1.txt,964,0.9440,93.75,96.77,96.77,96.77,96.77
S3_Tea_C1.txt,1361,0.9442,90.48,95.00,95.00,95.00,95.00
S4_Cheese_C1.txt,805,0.9329,94.12,96.97,96.97,96.97,96.97
S4_CofHoney_C1.txt,871,0.9013,91.30,95.45,95.45,95.45,95.45
S4_Coffee_C1.txt,964,0.9077,91.67,94.20,95.65,95.65,91.30
S4_Hotdog_C1.txt,655,0.9115,93.33,96.55,96.55,96.55,96.55
S4_Pealate_C1.txt,1244,0.9437,91.67,95.65,95.65,95.65,95.65
S4_Peanut_C1.txt,934,0.9347,94.12,96.97,96.97,96.97,96.97
S4_Tea_C1.txt,1151,0.9348,90.91,95.24,95.24,95.24,95.24
